q1,q2,q3,xe,ye,thetae,t1,t2,t3
1.3219501972198486,-1.4530657529830933,0.7249480485916138,15.0,10.0,33.690067525979785,14.47,9.79,34.02
1.3124065399169922,-1.4028213024139404,0.6982278227806091,14.989933382359421,10.317119598282822,34.538465361354255,14.51,10.13,34.83
1.3035764694213867,-1.3503072261810303,0.66862553358078,14.959774064153976,10.632962267868747,35.40408214768316,14.53,10.5,35.63
1.2983925342559814,-1.3044018745422363,0.6422026753425598,14.909643486313534,10.94625622180205,36.285106538962154,14.51,10.86,36.45
1.296858787536621,-1.2652740478515625,0.6191019415855408,14.839743506981781,11.255739935905396,37.17981342584053,14.46,11.2,37.28
1.2989652156829834,-1.2330635786056519,0.5994471907615662,14.750355588704728,11.560167228492435,38.08655360874836,14.37,11.53,38.12
1.3046870231628418,-1.2078831195831299,0.5833547711372375,14.641839665080363,11.858312278301637,39.00374409505248,14.25,11.83,38.97
1.3139805793762207,-1.1898140907287598,0.5709256529808044,14.514632691433107,12.148974560445858,39.929858948623895,14.1,12.12,39.83
1.326791524887085,-1.1789106130599976,0.5622499585151672,14.369246885348925,12.430983680502344,40.863420620821095,13.92,12.39,40.69
1.3243613243103027,-1.1659743785858154,0.5664340853691101,14.206267664155906,12.703204087277989,41.80299169316193,13.86,12.53,41.53
1.3145568370819092,-1.150865912437439,0.5756715536117554,14.026351287655293,12.964539645273202,42.74716696352965,13.85,12.63,42.36
1.30912446975708,-1.133463978767395,0.5784008502960205,13.83022221559489,13.213938048432697,43.69456580939192,13.81,12.78,43.2
1.3069956302642822,-1.123370885848999,0.5851694941520691,13.61867019052535,13.45039505741056,44.6438247630265,13.74,12.9,44.05
1.3081586360931396,-1.1206575632095337,0.5960426926612854,13.392547057785661,13.672958543287667,45.593590235020905,13.65,13.01,44.89
1.3119394779205322,-1.1234153509140015,0.6097947359085083,13.152763335422613,13.880732321458783,46.54251132326051,13.55,13.09,45.74
1.313765525817871,-1.118138074874878,0.6176449060440063,12.90028454785599,14.072879760251679,47.489232645185915,13.46,13.22,46.6
1.3181757926940918,-1.118477702140808,0.6285194158554077,12.636127338052512,14.248627149747572,48.43238713125718,13.34,13.32,47.45
1.3391547203063965,-1.1221507787704468,0.6268584132194519,12.361355373863415,14.407266817237911,49.37058871730204,13.09,13.55,48.35
1.3749382495880127,-1.1294139623641968,0.6145793795585632,12.077075065009431,14.548159976772592,50.30242487275954,12.72,13.87,49.28
1.4133062362670898,-1.1421936750411987,0.6051763892173767,11.78443110795936,14.670739301325533,51.2264489007959,12.32,14.17,50.21
1.4540774822235107,-1.1604409217834473,0.5987542867660522,11.484601876641374,14.77451120722037,52.1411719449265,11.91,14.43,51.13
1.497058391571045,-1.1840810775756836,0.5954092144966125,11.178794677547137,14.859057841617709,53.045054635218946,11.48,14.66,52.05
1.5420491695404053,-1.2130203247070312,0.595215380191803,10.868240888334652,14.92403876506104,53.936498305516515,11.04,14.85,52.96
1.5888440608978271,-1.2471414804458618,0.5982332825660706,10.554190999505055,14.96919232230627,54.81383571159685,10.6,15.0,53.85
1.6372308731079102,-1.2863092422485352,0.6045058965682983,10.237909579118712,14.99433669591504,55.67532117903903,10.15,15.11,54.74
1.6788311004638672,-1.3256338834762573,0.6184632182121277,9.920670180825962,14.999370638369374,56.5191201091777,9.76,15.16,55.67
1.7181637287139893,-1.3676867485046387,0.6375555396080017,9.603750215716058,14.984273879759712,57.34329777237919,9.4,15.17,56.61
1.7595157623291016,-1.4148820638656616,0.6593372821807861,9.288425808633574,14.949107209404664,58.14580732065841,9.03,15.15,57.52
1.8027069568634033,-1.4670310020446777,0.6837509870529175,8.975966659674047,14.894012231073894,58.92447695728315,8.67,15.08,58.41
1.8475518226623535,-1.5239226818084717,0.7107269763946533,8.667630931549825,14.81921079279971,59.67699621070252,8.3,14.98,59.26
1.8938655853271484,-1.5853297710418701,0.7401690483093262,8.36466018341289,14.725004093573343,60.40090127551786,7.94,14.83,60.09
1.941453456878662,-1.6510034799575806,0.7719730734825134,8.068274371534358,14.611771470522907,61.09355940643048,7.58,14.64,60.87
1.990128517150879,-1.7206807136535645,0.8060072660446167,7.779666936971129,14.47996887145668,61.75215238497393,7.22,14.42,61.62
2.0396969318389893,-1.7940813302993774,0.8421239852905273,7.500000000000001,14.330127018922195,62.3736591270387,6.88,14.15,62.32
2.0738024711608887,-1.8498660326004028,0.8741306066513062,7.230399680669448,14.162849273173858,62.954837566471646,6.64,13.92,62.91
2.1069531440734863,-1.9068552255630493,0.9073185324668884,6.971951564311667,13.978809202654162,63.49220604244453,6.41,13.67,63.45
2.140146493911743,-1.9662619829177856,0.9419127702713013,6.725696330273575,13.77874787177129,63.98202454349521,6.2,13.39,63.93
2.1751151084899902,-2.0289692878723145,0.9771961569786072,6.492625561468395,13.563470856894316,64.42027632865816,5.98,13.09,64.36
2.219076156616211,-2.099160671234131,1.0108517408370972,6.273677751621227,13.333845002581459,64.80265066748265,5.7,12.75,64.79
2.262580156326294,-2.1709539890289307,1.0453532934188843,6.069734526286064,13.090794931103026,65.12452772963543,5.45,12.38,65.14
2.3017191886901855,-2.232778549194336,1.0727579593658447,5.881617092850837,12.835299319313854,65.38096702665817,5.22,12.06,65.41
2.338097333908081,-2.289457082748413,1.0962817668914795,5.710082933825115,12.56838695786703,65.5667012796781,5.02,11.75,65.6
2.371840715408325,-2.335258960723877,1.1098519563674927,5.555822756725383,12.291132608637053,65.67613817290074,4.85,11.51,65.69
