q1,q2,q3,xe,ye,thetae,t1,t2,t3
2.6551384925842285,-2.8780264854431152,1.1808127164840698,5,7.0,54.46232220802562,4.67,7.45,54.89
2.6535513401031494,-2.874556541442871,1.1809141635894775,5,7.03030303030303,54.579299953848356,4.66,7.48,55.0
2.651975393295288,-2.871086597442627,1.1809931993484497,5,7.0606060606060606,54.69560992338243,4.66,7.51,55.11
2.6504104137420654,-2.867619037628174,1.1810503005981445,5,7.090909090909091,54.81125686799605,4.66,7.54,55.22
2.648855686187744,-2.864152431488037,1.1810857057571411,5,7.121212121212121,54.92624550665171,4.65,7.57,55.34
2.6473116874694824,-2.860687255859375,1.1811007261276245,5,7.151515151515151,55.04058052595338,4.65,7.6,55.45
2.6457784175872803,-2.8572235107421875,1.1810940504074097,5,7.181818181818182,55.15426658020026,4.65,7.63,55.56
2.644256353378296,-2.8537611961364746,1.1810673475265503,5,7.212121212121212,55.26730829144663,4.64,7.66,55.67
2.6427435874938965,-2.8503007888793945,1.1810188293457031,5,7.242424242424242,55.37971024956776,4.64,7.69,55.78
2.6412415504455566,-2.846841335296631,1.1809498071670532,5,7.2727272727272725,55.4914770123316,4.64,7.72,55.88
2.639749765396118,-2.843383312225342,1.180860161781311,5,7.303030303030303,55.60261310547595,4.63,7.75,55.99
2.63826847076416,-2.839926242828369,1.180750846862793,5,7.333333333333333,55.71312302279104,4.63,7.78,56.1
2.636796474456787,-2.836470603942871,1.1806206703186035,5,7.363636363636363,55.8230112262071,4.63,7.81,56.2
2.6353354454040527,-2.8330163955688477,1.180470585823059,5,7.393939393939394,55.932282145887044,4.62,7.84,56.31
2.6338841915130615,-2.829563617706299,1.1802997589111328,5,7.424242424242424,56.04094018032373,4.62,7.87,56.41
2.6324427127838135,-2.8261122703552246,1.1801109313964844,5,7.454545454545455,56.14898969644181,4.62,7.9,56.52
2.6310110092163086,-2.822661876678467,1.1799010038375854,5,7.484848484848484,56.256435029703894,4.62,7.93,56.62
2.629589319229126,-2.8192129135131836,1.1796715259552002,5,7.515151515151516,56.36328048422102,4.61,7.96,56.73
2.6281774044036865,-2.815765857696533,1.179423451423645,5,7.545454545454545,56.4695303328669,4.61,7.99,56.83
2.626774549484253,-2.812318801879883,1.1791560649871826,5,7.575757575757576,56.5751888173962,4.61,8.02,56.93
2.6253814697265625,-2.808873176574707,1.178869366645813,5,7.606060606060606,56.680260148566326,4.6,8.05,57.03
2.6239981651306152,-2.8054299354553223,1.1785627603530884,5,7.636363636363637,56.78474850626281,4.6,8.08,57.13
2.622624158859253,-2.8019866943359375,1.178238868713379,5,7.666666666666667,56.88865803962798,4.6,8.11,57.23
2.6212596893310547,-2.7985453605651855,1.177895188331604,5,7.696969696969697,56.99199286719287,4.6,8.14,57.33
2.6199042797088623,-2.7951059341430664,1.1775344610214233,5,7.7272727272727275,57.094757077012105,4.59,8.17,57.43
2.618558406829834,-2.7916665077209473,1.1771538257598877,5,7.757575757575758,57.19695472680174,4.59,8.2,57.53
2.6172211170196533,-2.7882285118103027,1.1767549514770508,5,7.787878787878788,57.298589844079864,4.59,8.23,57.63
2.6158931255340576,-2.784791946411133,1.1763384342193604,5,7.818181818181818,57.399666426309764,4.58,8.25,57.72
2.614574432373047,-2.7813568115234375,1.1759029626846313,5,7.848484848484849,57.50018844104564,4.58,8.28,57.82
2.613264799118042,-2.7779226303100586,1.175450086593628,5,7.878787878787879,57.60015982608067,4.58,8.31,57.91
2.6119630336761475,-2.774489402770996,1.17497980594635,5,7.909090909090909,57.69958448959737,4.58,8.34,58.01
2.610671281814575,-2.7710580825805664,1.1744920015335083,5,7.9393939393939394,57.79846631031991,4.57,8.37,58.1
