q1,q2,q3,xe,ye,thetae,t1,t2,t3
2.3741941452026367,-2.706752300262451,1.116140604019165,7,7.0,45.0,6.54,7.52,44.9
2.3746559619903564,-2.7043333053588867,1.1154181957244873,7,7.03030303030303,45.123748791406456,6.53,7.54,45.02
2.375128984451294,-2.701915740966797,1.114677906036377,7,7.0606060606060606,45.24696303742625,6.52,7.57,45.14
2.3756113052368164,-2.6994996070861816,1.1139179468154907,7,7.090909090909091,45.369645061847024,6.52,7.6,45.27
2.3761048316955566,-2.6970863342285156,1.1131426095962524,7,7.121212121212121,45.49179718794592,6.51,7.62,45.39
2.376608371734619,-2.694674015045166,1.1123467683792114,7,7.151515151515151,45.6134217382421,6.5,7.65,45.51
2.377122163772583,-2.692265033721924,1.1115334033966064,7,7.181818181818182,45.73452103425482,6.5,7.68,45.63
2.3776462078094482,-2.689857006072998,1.1107029914855957,7,7.212121212121212,45.85509739626673,6.49,7.71,45.75
2.378180980682373,-2.6874513626098633,1.1098546981811523,7,7.242424242424242,45.97515314309256,6.48,7.73,45.87
2.378725290298462,-2.685047149658203,1.10898756980896,7,7.2727272727272725,46.09469059185303,6.48,7.76,45.99
2.3792803287506104,-2.682645797729492,1.10810387134552,7,7.303030303030303,46.2137120577538,6.47,7.79,46.11
2.3798444271087646,-2.6802453994750977,1.1072027683258057,7,7.333333333333333,46.332219853869645,6.46,7.81,46.23
2.3804190158843994,-2.677847385406494,1.106284499168396,7,7.363636363636363,46.450216290933426,6.46,7.84,46.34
2.38100266456604,-2.6754512786865234,1.105347752571106,7,7.393939393939394,46.56770367713026,6.45,7.87,46.46
2.3815977573394775,-2.6730566024780273,1.104394555091858,7,7.424242424242424,46.68468431789629,6.44,7.9,46.58
2.3822014331817627,-2.6706643104553223,1.103424310684204,7,7.454545454545455,46.80116051572237,6.44,7.92,46.69
2.3828158378601074,-2.668273448944092,1.102435827255249,7,7.484848484848484,46.917134569962435,6.43,7.95,46.81
2.383439540863037,-2.6658849716186523,1.1014312505722046,7,7.515151515151516,47.03260877664657,6.42,7.98,46.92
2.384072780609131,-2.6634979248046875,1.1004103422164917,7,7.545454545454545,47.147585428298505,6.41,8.0,47.04
2.3830671310424805,-2.660299301147461,1.1001681089401245,7,7.575757575757576,47.2620668137578,6.41,8.03,47.15
2.3815290927886963,-2.656834602355957,1.1001712083816528,7,7.606060606060606,47.37605521800632,6.41,8.06,47.26
2.3799984455108643,-2.653372287750244,1.1001590490341187,7,7.636363636363637,47.48955292199916,6.41,8.09,47.37
2.378476619720459,-2.649909496307373,1.1001309156417847,7,7.666666666666667,47.60256220249981,6.42,8.12,47.48
2.3769619464874268,-2.646449089050293,1.1000868082046509,7,7.696969696969697,47.7150853319196,6.42,8.15,47.59
2.375455617904663,-2.642989158630371,1.1000266075134277,7,7.7272727272727275,47.827124578161275,6.42,8.18,47.7
2.3739571571350098,-2.6395297050476074,1.0999504327774048,7,7.757575757575758,47.93868220446667,6.42,8.21,47.81
2.3724663257598877,-2.63607120513916,1.0998589992523193,7,7.787878787878788,48.049760469268435,6.42,8.24,47.91
2.370983362197876,-2.6326146125793457,1.0997514724731445,7,7.818181818181818,48.16036162604567,6.42,8.27,48.02
2.3695080280303955,-2.6291584968566895,1.0996296405792236,7,7.848484848484849,48.27048792318357,6.42,8.3,48.13
2.3680408000946045,-2.6257028579711914,1.0994915962219238,7,7.878787878787879,48.38014160383673,6.42,8.33,48.23
2.3665807247161865,-2.6222496032714844,1.0993391275405884,7,7.909090909090909,48.489324905796394,6.42,8.36,48.34
2.3651282787323,-2.6187963485717773,1.0991710424423218,7,7.9393939393939394,48.59804006136133,6.43,8.39,48.44
2.3636832237243652,-2.615344524383545,1.0989878177642822,7,7.96969696969697,48.70628929721234,6.43,8.42,48.55
2.36224627494812,-2.6118931770324707,1.0987889766693115,7,8.0,48.81407483429035,6.43,8.45,48.65
2.360816717147827,-2.608443260192871,1.0985761880874634,7,8.030303030303031,48.921398887678095,6.43,8.47,48.76
2.3593943119049072,-2.604994773864746,1.0983469486236572,7,8.06060606060606,49.028263666485145,6.43,8.5,48.86
2.3579795360565186,-2.6015467643737793,1.0981043577194214,7,8.09090909090909,49.134671373736424,6.43,8.53,48.96
2.356572389602661,-2.5980987548828125,1.0978460311889648,7,8.121212121212121,49.24062420626406,6.43,8.56,49.06
2.355172634124756,-2.5946531295776367,1.0975732803344727,7,8.151515151515152,49.34612435460243,6.43,8.59,49.17
2.3537800312042236,-2.5912084579467773,1.0972861051559448,7,8.181818181818182,49.45117400288657,6.43,8.62,49.27
2.3523948192596436,-2.587764263153076,1.0969830751419067,7,8.212121212121213,49.55577532875361,6.43,8.65,49.37
2.3510167598724365,-2.5843210220336914,1.0966672897338867,7,8.242424242424242,49.6599305032474,6.44,8.68,49.47
2.3496458530426025,-2.580878734588623,1.096336007118225,7,8.272727272727273,49.76364169072618,6.44,8.71,49.57
2.3482820987701416,-2.577437400817871,1.0959900617599487,7,8.303030303030303,49.86691104877319,6.44,8.73,49.67
2.3469254970550537,-2.5739965438842773,1.095630407333374,7,8.333333333333334,49.9697407281103,6.44,8.76,49.76
2.345576047897339,-2.5705575942993164,1.0952569246292114,7,8.363636363636363,50.0721328725145,6.44,8.79,49.86
2.344233751296997,-2.5671186447143555,1.0948690176010132,7,8.393939393939394,50.17408961873717,6.44,8.82,49.96
2.3428988456726074,-2.5636820793151855,1.094466209411621,7,8.424242424242424,50.27561309642618,6.44,8.85,50.06
2.3415703773498535,-2.5602450370788574,1.0940502882003784,7,8.454545454545455,50.37670542805074,6.44,8.88,50.16
2.3402493000030518,-2.5568089485168457,1.0936213731765747,7,8.484848484848484,50.47736872882888,6.44,8.91,50.25
2.338934898376465,-2.5533742904663086,1.093177080154419,7,8.515151515151516,50.57760510665754,6.44,8.93,50.35
2.337627410888672,-2.5499401092529297,1.0927180051803589,7,8.545454545454545,50.67741666204533,6.44,8.96,50.44
2.336327314376831,-2.5465078353881836,1.0922470092773438,7,8.575757575757576,50.77680548804768,6.44,8.99,50.54
2.335033893585205,-2.543074607849121,1.0917613506317139,7,8.606060606060606,50.87577367020455,6.45,9.02,50.63
2.333747625350952,-2.539644241333008,1.0912619829177856,7,8.636363636363637,50.974323286480626,6.45,9.05,50.73
2.332467555999756,-2.5362138748168945,1.090749740600586,7,8.666666666666666,51.072456407207696,6.45,9.08,50.82
2.3311946392059326,-2.5327844619750977,1.0902233123779297,7,8.696969696969697,51.170175095029606,6.45,9.1,50.91
2.3299272060394287,-2.529355525970459,1.0896843671798706,7,8.727272727272727,51.2674814048493,6.45,9.13,51.01
2.3286678791046143,-2.525928020477295,1.0891321897506714,7,8.757575757575758,51.36437738377821,6.45,9.16,51.1
2.327763319015503,-2.5226473808288574,1.0883674621582031,7,8.787878787878787,51.46086507108783,6.45,9.19,51.19
2.3285105228424072,-2.5200533866882324,1.086656093597412,7,8.818181818181818,51.55694649816339,6.44,9.21,51.29
2.329268217086792,-2.5174617767333984,1.0849286317825317,7,8.848484848484848,51.65262368845969,6.43,9.24,51.38
2.3300352096557617,-2.514871597290039,1.083187222480774,7,8.878787878787879,51.74789865745901,6.42,9.27,51.47
2.3308117389678955,-2.512284278869629,1.0814305543899536,7,8.90909090909091,51.84277341263095,6.41,9.29,51.56
2.3315985202789307,-2.509699821472168,1.0796585083007812,7,8.93939393939394,51.93724995339433,6.41,9.32,51.66
2.332395315170288,-2.5071163177490234,1.0778717994689941,7,8.969696969696969,52.03133027108105,6.4,9.35,51.75
2.3326010704040527,-2.5047192573547363,1.076865792274475,7,9.0,52.1250163489018,6.39,9.37,51.84
2.3314409255981445,-2.502744674682617,1.0776643753051758,7,9.030303030303031,52.21831016191356,6.39,9.39,51.93
2.330284595489502,-2.5007734298706055,1.078456163406372,7,9.06060606060606,52.311213676989084,6.39,9.41,52.02
2.3291311264038086,-2.4988064765930176,1.0792415142059326,7,9.09090909090909,52.403728852788014,6.38,9.42,52.11
2.3279826641082764,-2.4968433380126953,1.0800203084945679,7,9.121212121212121,52.495857639729856,6.38,9.44,52.21
2.3268373012542725,-2.4948835372924805,1.08079195022583,7,9.151515151515152,52.58760197996854,6.38,9.46,52.3
2.325695753097534,-2.492928981781006,1.0815578699111938,7,9.181818181818182,52.678963807368696,6.38,9.48,52.39
2.3245577812194824,-2.4909768104553223,1.0823163986206055,7,9.212121212121213,52.76994504748366,6.38,9.5,52.48
2.323423385620117,-2.4890289306640625,1.083068609237671,7,9.242424242424242,52.86054761753486,6.37,9.51,52.57
2.3222923278808594,-2.48708438873291,1.083813190460205,7,9.272727272727273,52.950773426393,6.37,9.53,52.66
2.321164846420288,-2.4851436614990234,1.0845520496368408,7,9.303030303030303,53.04062437456057,6.37,9.55,52.74
2.3200411796569824,-2.4832072257995605,1.0852841138839722,7,9.333333333333334,53.13010235415599,6.37,9.57,52.83
2.318922281265259,-2.4812746047973633,1.0860093832015991,7,9.363636363636363,53.21920924889906,6.37,9.58,52.92
2.317805290222168,-2.479344367980957,1.0867278575897217,7,9.393939393939394,53.30794693409808,6.36,9.6,53.01
2.31669282913208,-2.477418899536133,1.0874398946762085,7,9.424242424242424,53.39631727663803,6.36,9.62,53.1
2.3155834674835205,-2.475496768951416,1.0881465673446655,7,9.454545454545455,53.48432213497041,6.36,9.64,53.18
2.3144776821136475,-2.473578453063965,1.0888458490371704,7,9.484848484848484,53.571963359104245,6.36,9.65,53.27
2.313375473022461,-2.4716639518737793,1.0895395278930664,7,9.515151515151516,53.6592427905984,6.36,9.67,53.36
2.3122761249542236,-2.469752788543701,1.0902256965637207,7,9.545454545454545,53.74616226255521,6.36,9.69,53.44
2.311180830001831,-2.4678449630737305,1.0909061431884766,7,9.575757575757576,53.83272359961535,6.35,9.7,53.53
2.3100883960723877,-2.4659414291381836,1.0915805101394653,7,9.606060606060606,53.91892861795384,6.35,9.72,53.61
2.309000015258789,-2.464040756225586,1.092248797416687,7,9.636363636363637,54.0047791252773,6.35,9.74,53.7
2.307915210723877,-2.462143898010254,1.092909336090088,7,9.666666666666668,54.090276920822326,6.35,9.75,53.78
2.306833505630493,-2.4602503776550293,1.0935649871826172,7,9.696969696969697,54.175423795354995,6.35,9.77,53.87
2.305755615234375,-2.4583606719970703,1.0942140817642212,7,9.727272727272727,54.26022153117148,6.34,9.79,53.95
2.3046798706054688,-2.4564733505249023,1.0948576927185059,7,9.757575757575758,54.34467190209969,6.34,9.81,54.03
2.3036081790924072,-2.454590320587158,1.095495343208313,7,9.787878787878789,54.42877667350201,6.34,9.82,54.12
