xe,ye,thetae,t1,t2,t3
15.0,10.0,33.690067525979785,14.99513219495277,10.000437146760943,33.69980726558994
14.989933382359421,10.317119598282822,34.538465361354255,14.994383548148178,10.316914427355313,34.52999078359107
14.959774064153976,10.632962267868747,35.40408214768316,14.967754332051737,10.632933765170272,35.389581910576545
14.909643486313534,10.94625622180205,36.285106538962154,14.914623917454263,10.946444636860305,36.27644875941087
14.839743506981781,11.255739935905396,37.17981342584053,14.845798805769435,11.256218479171434,37.169732250976644
14.750355588704728,11.560167228492435,38.08655360874836,14.758018030507293,11.561086286354364,38.07431886490758
14.641839665080363,11.858312278301637,39.00374409505248,14.651243714707347,11.859823906171654,38.98932440762859
14.514632691433107,12.148974560445858,39.929858948623895,14.520323726427959,12.15011996545643,39.92146286314661
14.369246885348925,12.430983680502344,40.863420620821095,14.375377890024645,12.432470008668089,40.85471672343053
14.206267664155906,12.703204087277989,41.80299169316193,14.212913448586116,12.705093441500338,41.79391066067006
14.026351287655293,12.964539645273202,42.74716696352965,14.033198870381762,12.966780166908265,42.7381631460793
13.83022221559489,13.213938048432697,43.69456580939192,13.83686900096721,13.21640748041338,43.6861630110206
13.61867019052535,13.45039505741056,44.6438247630265,13.624712106863281,13.452918445257989,44.63649257743773
13.392547057785661,13.672958543287667,45.593590235020905,13.397662727636444,13.67534208341285,45.58764431161058
13.152763335422613,13.880732321458783,46.54251132326051,13.156780100722612,13.882807721446799,46.53805325290617
12.90028454785599,14.072879760251679,47.489232645185915,12.907788319820671,14.077158416402614,47.48131228276166
12.636127338052512,14.248627149747572,48.43238713125718,12.641935150829744,14.25226700413206,48.426582122129105
12.361355373863415,14.407266817237911,49.37058871730204,12.365369646660556,14.410022369638943,49.36681007919182
12.077075065009431,14.548159976772592,50.30242487275954,12.079660459975523,14.550097948260829,50.30014824063743
11.78443110795936,14.670739301325533,51.2264489007959,11.791304247461648,14.676349883477883,51.2208341762894
11.484601876641374,14.77451120722037,52.1411719449265,11.4894572729958,14.778818885213935,52.13753039413137
11.178794677547137,14.859057841617709,53.045054635218946,11.181850590220861,14.861998819777135,53.042978512021676
10.868240888334652,14.92403876506104,53.936498305516515,10.870038253289213,14.925912120613422,53.93541188812984
10.554190999505055,14.96919232230627,54.81383571159685,10.55516988355392,14.970295849413867,54.81332230096273
10.237909579118712,14.99433669591504,55.67532117903903,10.238394160096783,14.994926962186026,55.675108638859626
9.920670180825962,14.999370638369374,56.5191201091777,9.925914418475166,15.006267466451416,56.51730695436245
9.603750215716058,14.984273879759712,57.34329777237919,9.607071072880455,14.988987805748586,57.34248601474064
9.288425808633574,14.949107209404664,58.14580732065841,9.290173887883887,14.951784910523232,58.145574185692105
8.975966659674047,14.894012231073894,58.92447695728315,8.976716249768023,14.895251357250155,58.92446899094544
8.667630931549825,14.81921079279971,59.67699621070252,8.667839778534095,14.819583491980483,59.677022545212196
8.36466018341289,14.725004093573343,60.40090127551786,8.364668856264094,14.72502081244821,60.40090370084104
8.068274371534358,14.611771470522907,61.09355940643048,8.068315980360902,14.611858197299023,61.09357827659403
7.779666936971129,14.47996887145668,61.75215238497393,7.7798779405156715,14.480444994560903,61.75228995239694
7.500000000000001,14.330127018922195,62.3736591270387,7.500433153139338,14.331186755346991,62.37404038579462
7.230399680669448,14.162849273173858,62.954837566471646,7.231039966846913,14.164550774446981,62.95557032220115
6.971951564311667,13.978809202654162,63.49220604244453,6.9727352894109575,13.98107580436479,63.493343986811055
6.725696330273575,13.77874787177129,63.98202454349521,6.726532607985542,13.781385330179587,63.983539206304876
6.492625561468395,13.563470856894316,64.42027632865816,6.49341835677804,13.566202454278889,64.4220451751193
6.273677751621227,13.333845002581459,64.80265066748265,6.274345809145445,13.336363120864515,64.80446832090132
6.069734526286064,13.090794931103026,65.12452772963543,6.070226327631552,13.092823738947859,65.1261445389179
5.881617092850837,12.835299319313854,65.38096702665817,5.8819187697895945,12.836659834637143,65.38215397322665
5.710082933825115,12.56838695786703,65.5667012796781,5.7102187436862355,12.56905428789451,65.56733370831635
5.555822756725383,12.291132608637053,65.67613817290074,5.555849774475766,12.291276319695234,65.676285034445
5.419457712839653,12.00465267703307,65.7033731646146,5.419458032304745,12.004654497368824,65.7033751561904
5.301536896070458,11.710100716628345,65.64221736610514,5.301611227847949,11.710547635247549,65.64273711193455
5.2025351319275135,11.40866278420715,65.48624544587983,5.202801038958579,11.410316479406385,65.48827492574276
5.122851065572965,11.101552663932702,65.22886952066249,5.123447402097304,11.105297272245377,65.23368315641395
5.062805556618029,10.79000697986675,64.86344595288692,5.063902347153159,10.796776806386644,64.8724916845776
5.022640387134577,10.475280216520915,64.38342270896717,5.022706762775423,10.475671604324384,64.38396207297913
5.002517288084075,10.158639667490338,63.782535164518926,5.002657558931714,10.159410385775542,63.783621178870575
5.002517288084074,9.841360332509662,63.055057570813084,5.002785226033864,9.84270277638202,63.05697478863794
5.022640387134577,9.524719783479089,62.19611529474162,5.023103100890976,9.52679900084447,62.19909741088715
5.062805556618029,9.20999302013325,61.20205879888929,5.063534343084994,9.212896929927071,61.20620213690264
5.122851065572965,8.898447336067298,60.07089354737544,5.123900923985109,8.902132495635787,60.07607441994992
5.202535131927513,8.591337215792853,58.802750249099454,5.203917286501021,8.595600042338884,58.808599516905055
5.301536896070457,8.289899283371657,57.400367284557085,5.303194451261849,8.294393234595411,57.40633131358123
5.419457712839652,7.995347322966933,55.86954296568125,5.4212591272320525,7.9996521552430915,55.87502264695528
